key,source,Translation
Key,Rando02_RAW-0000-Alta,
English_US,"Hello, welcome to {{Wanderstop}}. It's a tea shop.",
Description,,
French,"Bonjour, bienvenue chez {{Wanderstop}}. C'est un salon de thé.",
Italian,"Un cordiale benvenuto a {{Wanderstop}}, la bottega del tè.",
German,"Hallo, willkommen bei {{Wanderstop}}. Ein Teeladen.",
Spanish_Spain,Te doy la bienvenida a {{Wanderstop}}. Es una tienda de té.,
Spanish_LATAM,"¡Hola! Esto es {{Wanderstop}}, una tienda de té.",
Korean,{{Wanderstop}}에 오신 것을 환영합니다. 여긴 찻집이에요.,
Russian,,
Japanese,ティーハウス、{{ワンダーストップ}}へようこそ。,
Portuguese_Brazil,"Olá, boas-vindas à {{Wanderstop}}. É uma casa de chá.",
Chinese_Simplified,你好，欢迎光临{{Wanderstop}}。这里是家茶馆。,
Chinese_Traditional,你好，歡迎來到{{Wanderstop}}。這是一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0001-Customer,
English_US,Hm.,
Description,,
French,Hum…,
Italian,Hm.,
German,Mh.,
Spanish_Spain,Mmm.,
Spanish_LATAM,Mmm...,
Korean,흠.,
Russian,,
Japanese,ふむ。,
Portuguese_Brazil,Hm.,
Chinese_Simplified,嗯。,
Chinese_Traditional,嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0002-Alta,
English_US,Do you want tea?,
Description,,
French,Tu veux du thé ?,
Italian,Vuoi del tè?,
German,Möchtest du Tee?,
Spanish_Spain,¿Quieres té?,
Spanish_LATAM,¿Quieres té?,
Korean,차 드릴까요?,
Russian,,
Japanese,お茶はどうだい？,
Portuguese_Brazil,Você quer chá?,
Chinese_Simplified,您要茶吗？,
Chinese_Traditional,你想喝茶嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0003-Customer,
English_US,Tea? Hm.,
Description,,
French,Du thé ? Hum…,
Italian,Tè? Hm.,
German,Tee? Mh.,
Spanish_Spain,¿Té? Mmm.,
Spanish_LATAM,¿Té? Mmm...,
Korean,차? 흠.,
Russian,,
Japanese,お茶？ ふむ…,
Portuguese_Brazil,Chá? Hm.,
Chinese_Simplified,茶？嗯。,
Chinese_Traditional,茶？嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0004-Customer,
English_US,No. Not feeling very good. Just want to sit down.,
Description,,
French,"Non. Je ne me sens pas très bien. Je veux juste m'asseoir.",
Italian,No. Non mi sento molto bene. Voglio solo sedermi.,
German,"Nein. Mir geht's nicht so gut. Will mich nur hinsetzen.",
Spanish_Spain,No. No me encuentro muy bien. Solo quiero sentarme.,
Spanish_LATAM,No. No me siento muy bien. Quiero sentarme nada más.,
Korean,아뇨. 몸이 좀 안 좋아서요. 그냥 앉아서 쉬겠습니다.,
Russian,,
Japanese,いや、少し具合が悪くてね。座って休みたいだけだ。,
Portuguese_Brazil,Não. Não estou me sentindo muito bem. Só quero sentar.,
Chinese_Simplified,不了。我感觉有点不舒服。现在只想坐会儿。,
Chinese_Traditional,不了。不是很舒服。只想坐下。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0005-Alta,
English_US,"Okay, sure.",
Description,,
French,"OK, pas de souci.",
Italian,Ma certo.,
German,"Okay, klar.",
Spanish_Spain,"Sí, claro.",
Spanish_LATAM,"Sí, está bien.",
Korean,"네, 그러세요.",
Russian,,
Japanese,そうか、わかった。,
Portuguese_Brazil,"Sim, claro.",
Chinese_Simplified,好的。,
Chinese_Traditional,好啊，沒問題。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0006-Customer,
English_US,"You said tea, before.",
Description,,
French,Tu as parlé de thé.,
Italian,"Hai detto tè, prima?",
German,Du hast was von Tee gesagt.,
Spanish_Spain,Antes has dicho té.,
Spanish_LATAM,Dijiste «té» antes.,
Korean,아까 차라고 하셨나요.,
Russian,,
Japanese,あんた、お茶と言ったね。,
Portuguese_Brazil,Você disse chá antes.,
Chinese_Simplified,你之前说有茶。,
Chinese_Traditional,你剛才提到茶。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0007-Alta,
English_US,"Yes, this is a tea shop.",
Description,,
French,"Oui, c'est un salon de thé.",
Italian,"Sì, questa è una bottega del tè.",
German,"Ja, das hier ist ein Teeladen.",
Spanish_Spain,"Sí, esto es una tienda de té.",
Spanish_LATAM,"Sí, esto es una tienda de té.",
Korean,"네, 여긴 찻집이에요.",
Russian,,
Japanese,ああ、ここはティーハウスだ。,
Portuguese_Brazil,"Sim, essa é uma casa de chá.",
Chinese_Simplified,是的，毕竟这里是茶馆。,
Chinese_Traditional,對，這是一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0008-Customer,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0009-Alta,
English_US,Do you need something?,
Description,,
French,Il te faut quelque chose ?,
Italian,Hai bisogno di qualcosa?,
German,Brauchst du was?,
Spanish_Spain,¿Necesitas algo?,
Spanish_LATAM,¿Necesitas algo?,
Korean,필요한 게 있나요?,
Russian,,
Japanese,何か飲む？,
Portuguese_Brazil,Você precisa de alguma coisa?,
