key,source,Translation
Key,Alta_RAW-0000-Alta,
English_US,({{Alta}} stares at the mysterious shrine),
Description,,
French,({{Alta}} observe le mystérieux sanctuaire),
Italian,({{Alta}} osserva il misterioso santuario),
German,({{Alta}} starrt den mysteriösen Schrein an),
Spanish_Spain,({{Alta}} mira fijamente el santuario misterioso),
Spanish_LATAM,({{Alta}} mira fijo el santuario misterioso).,
Korean,({{Alta}}는 신비로운 사당을 응시한다),
Russian,,
Japanese,（{{アルタ}}は謎めいた祭壇を見つめる）,
Portuguese_Brazil,({{Alta}} olha para o santuário misterioso.),
Chinese_Simplified,（{{Alta}}紧盯着神秘圣坛）,
Chinese_Traditional,（{{Alta}}盯著神祕祭壇）,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0001-Alta,
English_US,"(Sit down in front of it, and let your mind wander?)",
Description,This is a question directly to the player,
French,"(S'asseoir devant et laisser tes pensées dériver ?)",
Italian,(Vuoi sederti davanti ad esso e perderti nei pensieri?),
German,(Willst du dich davor setzen und deine Gedanken wandern lassen?),
Spanish_Spain,(¿Te quieres sentar frente a él y dejar que tu mente divague?),
Spanish_LATAM,(¿Te quieres sentar frente a él y dejar que tu mente divague?).,
Korean,(그 앞에 앉아서 상념에 빠져볼까?),
Russian,,
Japanese,（祭壇の前に腰を下ろし、思いを巡らせる？）,
Portuguese_Brazil,(Sentar à sua frente e deixar sua mente voar?),
Chinese_Simplified,（要坐在圣坛前开始冥想吗？）,
Chinese_Traditional,（是否要坐在祭壇前，並開始神遊？）,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0002-Choice,
English_US,Yes.,
Description,,
French,Oui.,
Italian,Sì.,
German,Ja.,
Spanish_Spain,Sí.,
Spanish_LATAM,Sí.,
Korean,그래.,
Russian,,
Japanese,はい,
Portuguese_Brazil,Sim.,
Chinese_Simplified,是。,
Chinese_Traditional,是。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0003-Choice,
English_US,"No, not yet.",
Description,,
French,"Non, pas maintenant.",
Italian,"No, non adesso.",
German,"Nein, noch nicht.",
Spanish_Spain,"No, todavía no.",
Spanish_LATAM,"No, todavía no.",
Korean,"아니, 아직 아니야.",
Russian,,
Japanese,いや、今はいい,
Portuguese_Brazil,"Não, ainda não.",
Chinese_Simplified,暂时不要。,
Chinese_Traditional,先不要。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0004-Alta,
English_US,({{Alta}} stares at the mysterious shrine),
Description,,
French,({{Alta}} observe le mystérieux sanctuaire),
Italian,({{Alta}} osserva il misterioso santuario),
German,({{Alta}} starrt den mysteriösen Schrein an),
Spanish_Spain,(Alta mira fijamente el santuario misterioso),
Spanish_LATAM,({{Alta}} mira fijo el santuario misterioso).,
Korean,({{Alta}}는 신비로운 사당을 응시한다),
Russian,,
Japanese,（{{アルタ}}は謎めいた祭壇を見つめる）,
Portuguese_Brazil,({{Alta}} olha para o santuário misterioso.),
Chinese_Simplified,（{{Alta}}紧盯着神秘圣坛）,
Chinese_Traditional,（{{Alta}}盯著神祕祭壇）,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0005-Alta,
English_US,(Nothing is revealed),
Description,,
French,"(Rien n'est révélé)",
Italian,(Non succede niente),
German,(Nichts wird enthüllt.),
Spanish_Spain,(No se revela nada),
Spanish_LATAM,(No se revela nada).,
Korean,(아무 일도 일어나지 않는다),
Russian,,
Japanese,（何も起こらない）,
Portuguese_Brazil,(Nada se revela.),
Chinese_Simplified,（没有得到任何启示）,
Chinese_Traditional,（什麼都沒出現）,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0006-Alta,
English_US,(Leave the clearing and return to the forest?),
Description,"""Clearing"" means like a clearing in the forest, a spot where there are no trees",
French,(Quitter la clairière et retourner dans la forêt ?),
Italian,(Vuoi lasciare la radura e tornare nella foresta?),
German,(Willst du die Lichtung verlassen und in den Wald zurückkehren?),
Spanish_Spain,(¿Dejar el claro y regresar al bosque?),
Spanish_LATAM,(¿Dejar el claro y regresar al bosque?).,
Korean,(빈터를 떠나 숲으로 돌아갈까?),
Russian,,
Japanese,（広場を出て森に戻る？）,
Portuguese_Brazil,(Sair da clareira e voltar para a floresta?),
Chinese_Simplified,（要离开茶馆，返回森林吗？）,
Chinese_Traditional,（是否要離開空地並返回森林）,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0007-Choice,
