key,source,Translation
Key,Business2_RAW-0000-Customer,
English_US,Привет.,
Description,,
French,Salut.,
Italian,Ehilà.,
German,Hallo.,
Spanish_Spain,Hola.,
Spanish_LATAM,Hola.,
Korean,안녕하세요.,
Russian,Hullo.,
Japanese,どーも。,
Portuguese_Brazil,Oi.,
Chinese_Simplified,哈啰。,
Chinese_Traditional,哈囉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business2_RAW-0001-Alta,
English_US,"Эм, подождите. Вы тот же человек, с которым я только что разговаривала?",
Description,,
French,Euh… attends… c'est pas à toi que je viens de parler ?,
Italian,Ehm… aspetta un attimo... non ti ho appena parlato?,
German,"Äh, warte mal. Bist du derselbe Typ, mit dem ich gerade geredet hab?",
Spanish_Spain,"Ah, un momento. ¿Eres la misma persona con la que acabo de hablar?",
Spanish_LATAM,"A ver, espera... ¿Eres la misma persona con la que acabo de hablar?",
Korean,응? 잠시만요. 방금 나와 얘기하지 않았어요?,
Russian,"Uh, hang on. Are you the same guy I just talked to?",
Japanese,ちょっと待った。あんた、さっき話した人だよね？,
Portuguese_Brazil,"Ah, espera aí. Você é o mesmo cara com quem acabei de falar?",
Chinese_Simplified,呃，等等。之前和我说话的人是你吗？,
Chinese_Traditional,呃，等一下。你是我剛才講過話的那個傢伙嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business2_RAW-0002-Customer,
English_US,Вы ошибаетесь. Мы с вами не разговаривали.,
Description,,
French,"Tu fais erreur. Toi et moi, on n'a jamais parlé.",
Italian,Ti stai sbagliando. Non abbiamo mai parlato.,
German,Du irrst dich. Wir haben uns noch nicht unterhalten.,
Spanish_Spain,Te equivocas. Tú y yo no hemos hablado.,
Spanish_LATAM,Te equivocas. Tú y yo nunca habíamos hablado.,
Korean,잘못 아셨습니다. 우린 대화한 적이 없어요.,
Russian,You are mistaken. You and I have not spoken.,
Japanese,誤解です。あなたと話したことはない。,
Portuguese_Brazil,Você está enganada. Você e eu não conversamos.,
Chinese_Simplified,你认错人了。我们之前没说过话。,
Chinese_Traditional,你認錯人了。我們還沒講過話。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business2_RAW-0003-Customer,
English_US,"Вы, должно быть, разговаривали с {{Jerry}}. Я {{Larry}}.",
Description,,
French,"Tu as dû parler avec {{Jerry}}. Moi, je suis {{Larry}}.",
Italian,Devi aver parlato con {{Jerry}}. Io sono {{Larry}}.,
German,Du musst mit {{Jerry}} geredet haben. Ich bin {{Larry}}.,
Spanish_Spain,Debes de haber hablado con {{Jerry}}. Yo soy {{Larry}}.,
Spanish_LATAM,Debes haber hablado con {{Jerry}}. Yo soy {{Larry}}.,
Korean,{{Jerry}}와 대화하신 모양이죠. 저는 {{Larry}}입니다.,
Russian,You must have spoken with {{Jerry}}. I am {{Larry}}.,
Japanese,きっと{{ジェリー}}と話したんでしょう。僕は{{ラリー}}です。,
Portuguese_Brazil,Você deve ter falado com o {{Jerry}}. Eu sou o {{Larry}}.,
Chinese_Simplified,跟你说话的肯定是{{Jerry}}。我是{{Larry}}。,
Chinese_Traditional,你說的一定是{{Jerry}}。我是{{Larry}}。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business2_RAW-0004-Larry,
English_US,"Возможно, вы сможете мне помочь. Я нужен в конференц-зале для презентации.",
Description,,
French,"Tu vas peut-être pouvoir m'aider. On m'attend à la salle de conférence, pour la présentation.",
Italian,"Forse puoi aiutarmi. Sono atteso nella sala riunioni, per una presentazione.",
German,"Vielleicht kannst du mir helfen. Ich werde im Sitzungssaal erwartet, zur Präsentation.",
Spanish_Spain,A lo mejor puedes ayudarme. Me necesitan en la sala de juntas para la presentación.,
Spanish_LATAM,Quizás puedas ayudarme. Me necesitan en la sala de juntas para la presentación.,
Korean,좀 도와주세요. 프레젠테이션 때문에 회의실에 가야 합니다.,
Russian,"Perhaps you can help me. I'm needed at the boardroom, for the presentation.",
Japanese,力をお借りしたい。役員会議室でプレゼンをしなくてはならないのです。,
Portuguese_Brazil,"Talvez você possa me ajudar. Preciso de uma sala de reuniões, para a apresentação.",
Chinese_Simplified,能不能帮个忙？我得去会议室做演讲。,
Chinese_Traditional,或許你能幫我。我要去會議室報告。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business2_RAW-0005-Larry,
English_US,Я отстаю от графика. Не могли бы вы указать мне путь к конференц-залу?,
Description,,
French,Je suis en retard. Tu peux m'indiquer où se trouve la salle de conférence ?,
Italian,Sono in ritardo. Mi puoi indicare dove si trova la sala riunioni?,
German,"Ich bin spät dran. Kannst du mir sagen, wo der Sitzungssaal ist?",
Spanish_Spain,Voy con retraso. ¿Puedes indicarme dónde está la sala de juntas?,
Spanish_LATAM,Vengo un poco atrasado. ¿Puedes indicarme dónde está la sala de juntas?,
Korean,제가 지금 늦었거든요. 회의실로 안내해 주시겠어요?,
Russian,I am behind schedule. Can you direct me to the boardroom?,
Japanese,もう遅刻だ。役員会議室に案内してもらえませんか？,
Portuguese_Brazil,Estou atrasado. Pode me dizer onde fica a sala de reuniões?,
