key,source,Translation
Key,Zenith2_RAW-0000-Zenith,
English_US,"Human {{Alta}}, when you are ready. We will be. In the forest.",
Description,"Please see translator notes in Zenith1 if you haven't done so already",
French,"Être humain {{Alta}}, quand tu es prête. Nous serons. Dans la forêt.",
Italian,"Essere umano {{Alta}}, quando sarai pronta. Noi saremo. Nella foresta.",
German,"Menschin {{Alta}}, wenn du bereit bist. Werden wir. Im Wald sein.",
Spanish_Spain,"Humana {{Alta}}, cuando estés lista. Estaremos. En el bosque.",
Spanish_LATAM,"Humana {{Alta}}, cuando estés lista. Estaremos. En el bosque.",
Korean,"인간 {{Alta}}, 네가 준비되면. 우리도 함께할게. 숲속에서.",
Russian,,
Japanese,人間{{アルタ}}、いつでもドウゾ。ワタシタチも森ヘ行きマス。,
Portuguese_Brazil,"Humana {{Alta}}, quando estiver pronta. Estaremos lá. Na floresta.",
Chinese_Simplified,人类{{Alta}}，等你准备好了。我等将。前往森林。,
Chinese_Traditional,人類{{Alta}}，等你做好準備。我們會。在森林中。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith2_RAW-0001-Zenith,
English_US,Please join us there!,
Description,,
French,Tu peux nous y rejoindre !,
Italian,Unisciti a noi!,
German,Bitte triff uns dort!,
Spanish_Spain,¡Únete a nosotras allí!,
Spanish_LATAM,¡Únete a nosotras allí!,
Korean,거기서 우리와 함께하자!,
Russian,,
Japanese,向こうで会いマショウ！,
Portuguese_Brazil,Nos encontre lá!,
Chinese_Simplified,请在那里和我等碰面！,
Chinese_Traditional,請在那裡與我們相見！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith2_RAW-0002-Zenith,
English_US,"Human {{Alta}}, are you ready. To return to the forest? \n <Zenith>Return.</>",
Description,,
French,"Être humain {{Alta}}, es-tu prête. À retourner dans la forêt ? \n <Zenith>Retourner.</>",
Italian,"Essere umano {{Alta}}, sei pronta a tornare nella foresta? \n <Zenith>Ritorno.</>",
German,"Menschin {{Alta}}, bist du. Bereit, in den Wald zurückzugehen? \n <Zenith>Rückkehr.</>",
Spanish_Spain,"¿Humana {{Alta}}, estás lista? ¿Para regresar al bosque? \n <Zenith>Regreso.</>",
Spanish_LATAM,"Humana {{Alta}}, ¿estás lista? ¿Para regresar al bosque? \n <Zenith>Regreso.</>",
Korean,"인간 {{Alta}}, 숲으로 돌아갈. 준비가 됐니? \n <Zenith>돌아갈 준비.</>",
Russian,,
Japanese,人間{{アルタ}}、心の準備は？ 森に行けマスカ？ \n <Zenith>モウイチド。</>,
Portuguese_Brazil,"Humana {{Alta}}, você está pronta. Para voltar para a floresta? \n <Zenith>Voltar.</>",
Chinese_Simplified,人类{{Alta}}，你准备好。前往森林了吗？ \n <Zenith>回森林。</>,
Chinese_Traditional,人類{{Alta}}，你準備好要。返回森林了嗎？\n<Zenith>返回。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith2_RAW-0003-Alta,
English_US,"Yeah, I'll head there in just a second.",
Description,,
French,"Ouais, j'y vais dans une seconde.",
Italian,"Sì, ci vado fra un momento.",
German,"Ja, ich mache mich gleich dahin auf den Weg.",
