Key,Monster_RAW-0000-Alta,
English_US,"Эм, привет, малыш. Что ты здесь делаешь?",
Description,,
French,"Euh… salut, petite. Qu'est-ce que tu viens faire par ici ?",
Italian,"Uh, ciao ragazzina. Cosa ci fai da queste parti?",
German,"Äh, hi, Kleines. Was machst du hier draußen?",
Spanish_Spain,"Hola, peque. ¿Qué haces por aquí?",
Spanish_LATAM,"Hola, peque. ¿Qué andas haciendo por aquí?",
Korean,안녕 꼬마야. 여기서 뭐 하니?,
Russian,"Uh, hi kid. What are you doing out here?",
Japanese,あれ、子どもか。こんな所で何してるんだ？,
Portuguese_Brazil,"Ahm, oi, garota. O que você está fazendo aqui?",
Chinese_Simplified,呃，孩子你好呀。你一个人在这干嘛呢？,
Chinese_Traditional,呃，嗨，小鬼。你在這裡幹嘛？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Monster_RAW-0001-Customer,
English_US,БАХ! Я тебя застрелил! Ты мертва!,
Description,"""Bang"" as in the sound of a gun being fired",
French,PAN ! Je t'ai eue ! T'es morte !,
Italian,BANG! Ti ho sparato! Sei morta!,
German,PENG! Ich hab dich erschossen! Du bist tot!,
Spanish_Spain,¡¡¡Pum!!! ¡Te he disparado! ¡Estás muerta!,
Spanish_LATAM,¡Pum! ¡Te disparé! ¡Estás muerta!,
Korean,빵! 쐈다! 죽었지롱!,
Russian,BANG! I shot you! You're dead!,
Japanese,バーン！ 撃ったよ！ 倒れて！,
Portuguese_Brazil,BANGUE! Eu atirei em ti! Você morreu!,
Chinese_Simplified,砰！我打中你了！你死了！,
Chinese_Traditional,砰！我射中你了！你死了！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Monster_RAW-0002-Alta,
English_US,...что?,
Description,,
French,… quoi ?,
Italian,… Cosa?,
German,…Was?,
Spanish_Spain,¿Qué?,
Spanish_LATAM,¿Qué?,
Korean,...뭐?,
Russian,...what?,
Japanese,…はぁ？,
Portuguese_Brazil,Quê?,
Chinese_Simplified,……什么？,
Chinese_Traditional,……什麼？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Monster_RAW-0003-Customer,
English_US,Ты мертва!! Я застрелил тебя из моего пистолета!,
Description,,
French,T'es morte ! Je t'ai eue avec mon flingue !,
Italian,Sei morta! Ti ho sparato con la mia pistola!,
German,Du bist tot! Ich hab dich mit meiner Knarre erschossen!,
Spanish_Spain,¡¡Estás muerta!! ¡Te he disparado con mi pistola!,
Spanish_LATAM,¡Estás muerta! ¡Te disparé con mi pistola!,
Korean,언니 죽었어!! 내가 총으로 쐈잖아!,
Russian,You're dead!! I shot you with my gun!,
Japanese,倒したの！ 銃で撃ったから！,
Portuguese_Brazil,Você morreu!! Eu atirei em ti com a minha arma!,
Chinese_Simplified,你死了！！我开枪打中你了！,
Chinese_Traditional,你死了！！我用我的槍射中你了！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Monster_RAW-0004-Choice,
English_US,Эм... нет?,
Description,,
French,Euh… non…,
Italian,Um... no...,
German,Ähm …Nein?,
Spanish_Spain,Eh... ¿no?,
Spanish_LATAM,Eh... No...,
Korean,음... 아닌데?,
Russian,Um... no?,
Japanese,ええと…マジ？,
Portuguese_Brazil,Ahm... não?,
Chinese_Simplified,呃……没有吧？,
Chinese_Traditional,呃……沒有？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Monster_RAW-0005-Choice,
English_US,Да. Ой. Теперь я мертва.,
Description,,
French,Oui. Aïe ! Je suis morte.,
Italian,Sì. Oh! Sono morta.,
German,Ja. Autsch. Jetzt bin ich tot.,
Spanish_Spain,Sí. Ay. Ahora estoy muerta.,
Spanish_LATAM,Sí. Ay. Estoy muerta.,
Korean,그래. 으악. 죽었다.,
Russian,Yes. Ow. Now I am dead.,
Japanese,そうか。うわっ、やられた。,
