Key,Zenith4_RAW-0000-Garry_Unrevealed,
English_US,Приветствую.,
Description,"Even though this is Zenith, they've changed into a businessman and so their speech now sounds exactly like one of the businessmen.",
French,Salut.,
Italian,Ehilà.,
German,Hallo.,
Spanish_Spain,Hola.,
Spanish_LATAM,Hola.,
Korean,안녕하세요.,
Russian,Hullo.,
Japanese,ドーモ。,
Portuguese_Brazil,Oi.,
Chinese_Simplified,哈啰。,
Chinese_Traditional,哈囉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0001-Alta,
English_US,...{{Zenith}}?,
Description,,
French,… {{Zenith}} ?,
Italian,… {{Zenith}}?,
German,...{{Zenith}}?,
Spanish_Spain,¿{{Zenith}}?,
Spanish_LATAM,¿{{Zenith}}?,
Korean,...{{Zenith}}?,
Russian,...{{Zenith}}?,
Japanese,…{{ゼニス}}?,
Portuguese_Brazil,...{{Zenith}}?,
Chinese_Simplified,……{{Zenith}}？,
Chinese_Traditional,……{{Zenith}}?,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0002-Garry,
English_US,Меня зовут {{Garry}}. Я деловой человек. Я ищу помещение для заседаний совета директоров.,
Description,,
French,Bonjour. Je suis {{Garry}}. Je suis un homme d'affaires. Je cherche la salle de conférence.,
Italian,Ehilà. Sono {{Garry}}. Sono un uomo degli affari. Sto cercando la sala riunioni.,
German,Hallo. Ich bin {{Garry}}. Ich bin ein Mann des Geschäfts. Ich suche den Sitzungssaal.,
Spanish_Spain,Hola. Soy {{Garry}}. Soy un hombre de negocios. Estoy buscando la sala de juntas.,
Spanish_LATAM,Hola. Soy {{Garry}}. Soy un hombre de negocios. Estoy buscando la sala de juntas.,
Korean,안녕하세요. {{Garry}}라고 합니다. 회사원이죠. 회의실을 찾고 있어요.,
Russian,Hullo. I am {{Garry}}. I am a man of business. I am looking for the boardroom.,
Japanese,ドーモ。僕は{{ギャリー}}。カイシャインです。役員会議室を探していマス。,
Portuguese_Brazil,Oi. Eu sou o {{Garry}}. Sou um homem de negócios. Estou procurando a sala de reuniões.,
Chinese_Simplified,哈啰。我是{{Garry}}。我是个生意人。我在找会议室。,
Chinese_Traditional,哈囉。我是{{Garry}}。我是個生意人。我正在找會議室。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0003-Garry,
English_US,"Я выступаю с презентацией, поэтому не могу опоздать.",
Description,,
French,"Je fais une présentation, je ne peux pas être en retard.",
Italian,"Devo fare una presentazione, per cui non posso arrivare in ritardo.",
German,"Ich halte eine Präsentation, also darf ich mich nicht verspäten.",
Spanish_Spain,"Voy a dar una presentación, así que no puedo llegar tarde.",
Spanish_LATAM,"Voy a dar una presentación, así que no puedo llegar tarde.",
Korean,프레젠테이션이 있어서 지각하면 안 되거든요.,
Russian,"I am delivering a presentation, so I cannot be late.",
Japanese,プレゼンをするので、遅刻はできマセン。,
Portuguese_Brazil,"Vou fazer uma apresentação, por isso, não posso me atrasar.",
Chinese_Simplified,马上该我演讲了，所以我不能迟到。,
Chinese_Traditional,我準備要發表一場報告，所以我不能遲到。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0004-Alta,
English_US,Итак... вы действительно меня совсем не помните?,
Description,,
French,Alors… tu ne te souviens pas du tout de moi ?,
Italian,Allora... davvero non ti ricordi di me?,
German,Ihr …ihr erinnert euch also wirklich nicht an mich?,
Spanish_Spain,Entonces... ¿de verdad no te acuerdas nada de mí?,
Spanish_LATAM,Entonces... ¿de verdad no recuerdas nada? ¿No te acuerdas de mí?,
Korean,정말로... 날 전혀 기억 못 해요?,
Russian,So... you really don't remember me at all?,
Japanese,それじゃ…本当に私のことを覚えてないの？,
Portuguese_Brazil,Então... você não se lembra de mim?,
Chinese_Simplified,看来……你真的不记得我了？,
Chinese_Traditional,所以……你完全不記得我是誰？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0005-Garry,
English_US,Я вас помню?,
Description,,
French,Me souvenir de toi ?,
Italian,Ricordarmi di te?,
German,Mich erinnern?,
Spanish_Spain,¿Acordarme de ti?,
Spanish_LATAM,¿Acordarme de ti?,
Korean,기억이요?,
Russian,Remember you?,
Japanese,あなたを…デスカ？,
Portuguese_Brazil,Lembrar de você?,
Chinese_Simplified,记得你？,
Chinese_Traditional,記得你？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0006-Alta,
English_US,"Да! Раньше ты был {{Zenith}}! Ты был невероятным, многомерным космическим существом!",
Description,,
French,Ouais ! Tu étais {{Zenith}} ! Tu étais cet incroyable être de l'espace multidimensionnel !,
Italian,Sì! Eri {{Zenith}}! Un incredibile essere spaziale multidimensionale!,
German,"Ja! Ihr wart mal {{Zenith}}! Ihr wart dieses unglaubliche, mehrdimensionale Weltraumwesen!",
Spanish_Spain,¡Sí! ¡Solías ser {{Zenith}}! ¡Eras un increíble ser espacial multidimensional!,
Spanish_LATAM,¡Sí! ¡Eras {{Zenith}} hasta hace un rato! ¡Eras un increíble ser espacial multidimensional!,
Korean,네! 원래 {{Zenith}}였잖아요! 다른 차원에서 온 놀라운 우주인!,
Russian,"Yeah! You used to be {{Zenith}}! You were this incredible, multidimensional space-being!",
Japanese,そうだよ！ あんたは{{ゼニス}}だった！ 宇宙から来た多次元の存在だったんだ！,
Portuguese_Brazil,"É! Você era {{Zenith}}! Você era esse ser espacial, multidimensional incrível!",
Chinese_Simplified,是啊！你曾经是{{Zenith}}！你曾经是一位难以想象的外太空高维生命体！,
Chinese_Traditional,對啊！你本來是{{Zenith}}！你是超酷的多次元太空實體！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0007-Alta,
English_US,"И ты... ты понял, что со мной не так, у тебя были ответы!",
Description,,
French,"Et tu… tu savais ce qui clochait chez moi, tu avais les réponses !",
Italian,"E tu... tu avevi capito cosa c'era che non andava in me, e avevi trovato le risposte!",
German,"Und ihr …ihr wusstet, was mit mir kaputt ist, ihr hattet die Antworten!",
Spanish_Spain,"Y tú... descubriste lo que me pasaba, ¡tenías las respuestas!",
Spanish_LATAM,Y habías descubierto... lo que me pasaba... ¡Tenías las respuestas!,
Korean,게다가... 내 문제가 뭔지 알아내고 해결책도 가지고 있었잖아요!,
Russian,"And you... you figured out what was wrong with me, you had the answers!",
Japanese,それに…私の問題を見つけ出し、解決するための答えを知ってた！,
Portuguese_Brazil,"E você... você descobriu o que eu tinha de errado, você tinhas as respostas!",
Chinese_Simplified,而且你……你看出了我的问题所在，并且知道如何解决！,
Chinese_Traditional,而且你……你發現我出了什麼問題，你有答案！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith4_RAW-0008-Alta,
English_US,Ты собирался меня вылечить.,
Description,,
French,Tu allais me réparer.,
Italian,Avresti messo tutto a posto.,
German,Ihr wolltet mich heilen.,
Spanish_Spain,Ibas a arreglarme.,
Spanish_LATAM,Ibas a arreglarme.,
Korean,날 고쳐준다고 했었고.,
Russian,You were going to fix me.,
Japanese,私を元に戻す約束だった。,
Portuguese_Brazil,Você ia me consertar!,
