Key,DemonHunter_RAW-0000-Customer
English_US,Здравствуйте.
Description,
French,Salut !
Italian,Buongiorno.
German,Hallo.
Spanish_Spain,Hola.
Spanish_LATAM,Hola.
Korean,안녕하세요.
Russian,Hello there.
Japanese,こんにちは。
Portuguese_Brazil,Olá.
Chinese_Simplified,你好。
Chinese_Traditional,你好。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0001-Alta
English_US,Да. Эм... привет.
Description,
French,Oui. Euh… salut.
Italian,Eccomi. Um... salve.
German,Ja. Ähm …Hi.
Spanish_Spain,Sí. Eh... Hola.
Spanish_LATAM,"Sí, eh... Hola."
Korean,아. 네... 안녕하세요.
Russian,Yes. Um... hi.
Japanese,ああ、その…どうも。
Portuguese_Brazil,Sim. Ahm... oi.
Chinese_Simplified,你好。呃……嗨。
Chinese_Traditional,好。呃……嗨。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0002-Alta
English_US,Хотите чаю? Это чайная лавка. Хотите... немного?
Description,
French,Tu veux du thé ? C'est un salon de thé. Tu… tu en veux ?
Italian,Vuoi il tè? Questa è una bottega del tè. Gradisci?
German,Möchtest du Tee? Das hier ist ein Teeladen. Möchtest du …welchen?
Spanish_Spain,¿Quieres té? Esto es una tienda de té. ¿Quieres... un poco?
Spanish_LATAM,¿Quieres té? Esto es una tienda de té. ¿Quieres... un poco?
Korean,차 드릴까요? 여긴 찻집이거든요. 좀... 드실래요?
Russian,Do you want tea? This is a tea shop. Do you want... some?
Japanese,お茶はどう？ ここはティーハウスなんだ。だから…飲む？
Portuguese_Brazil,Quer chá? Esta é uma casa de chá. Quer... um pouco?
Chinese_Simplified,你要茶吗？本店是茶馆。你要不要……来杯茶？
Chinese_Traditional,你想喝茶嗎？這是一間茶屋。你想……來一點嗎？
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0003-Customer
English_US,"О, э-э, нет. Нет, спасибо."
Description,
French,Oh… euh… non. Non merci.
Italian,Oh... uh... no. No grazie.
German,"Oh, äh, nein. Nein, danke."
Spanish_Spain,"Eh, no. No, gracias."
Spanish_LATAM,"Ah... Eh, no. No, gracias."
Korean,"아, 아뇨 아니에요."
Russian,"Oh, uh, no. No thank you."
Japanese,ああ、いえ、結構です。
Portuguese_Brazil,"Ah, ahm, não. Não, agradeço."
